________________________________________________________________________________________________________________________________________________________________________________

Perfil NACA 4412

Rey = [ , 10.0 , 12.5 , 15.0 , 17.5 , 20.0 , 30.0 , 32.5 , 35.0 , 37.5 , 40.0 , 42.5 , 45.0 , 47.5 , 50.0 , 52.5 , 55.0 , 57.5 , 65.0 , 67.5 , 70.0 , 72.5 , 75.0 , 77.5 , 80.0 , 82.5 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 102.5 , 105.0 , 107.5 , 110.0 , 112.5 , 115.0 , 117.5 , 120.0 , 122.5 , 125.0 , 127.5 ]


Cla = [ , 0.1031 , 0.11125 , 0.10545 , 0.1048 , 0.10425 , 0.09435 , 0.099 , 0.10223 , 0.10494 , 0.10354 , 0.10329 , 0.10347 , 0.10583 , 0.10598 , 0.10298 , 0.10312 , 0.10725 , 0.10736 , 0.10736 , 0.10743 , 0.1066 , 0.10786 , 0.10788 , 0.10792 , 0.10805 , 0.10813 , 0.1053 , 0.1053 , 0.10533 , 0.10542 , 0.10552 , 0.10864 , 0.1085 , 0.10896 , 0.10859 , 0.10865 , 0.10871 , 0.10876 , 0.10881 , 0.10883 , 0.10885 , 0.10902 , 0.10891 ]


Cl0 = [ , 0.4335 , 0.4737 , 0.4878 , 0.4919 , 0.4937 , 0.497 , 0.4925 , 0.4813 , 0.4724 , 0.467 , 0.4673 , 0.4698 , 0.4722 , 0.474 , 0.4756 , 0.4768 , 0.4776 , 0.4797 , 0.4801 , 0.4804 , 0.4809 , 0.4813 , 0.4816 , 0.4819 , 0.482 , 0.4823 , 0.4826 , 0.4828 , 0.483 , 0.4831 , 0.4832 , 0.4833 , 0.4835 , 0.4837 , 0.4838 , 0.4839 , 0.484 , 0.484 , 0.484 , 0.4842 , 0.4844 , 0.4845 , 0.4846 ]


Clmax = [ , 1.4511 , 1.4427 , 1.4615 , 1.4421 , 1.4362 , 1.4461 , 1.4523 , 1.4565 , 1.4657 , 1.4766 , 1.4867 , 1.4942 , 1.5032 , 1.5122 , 1.5245 , 1.5362 , 1.5471 , 1.5742 , 1.5775 , 1.5881 , 1.5987 , 1.6084 , 1.6173 , 1.6252 , 1.6323 , 1.6382 , 1.6428 , 1.6457 , 1.6521 , 1.6584 , 1.6642 , 1.6695 , 1.6744 , 1.6788 , 1.6828 , 1.6865 , 1.6899 , 1.693 , 1.6957 , 1.6978 , 1.7001 , 1.7038 , 1.7074 ]


al0 = [ , -4.205 , -4.258 , -4.626 , -4.694 , -4.736 , -5.268 , -4.975 , -4.708 , -4.502 , -4.51 , -4.524 , -4.54 , -4.462 , -4.472 , -4.619 , -4.624 , -4.453 , -4.468 , -4.472 , -4.472 , -4.511 , -4.462 , -4.464 , -4.465 , -4.461 , -4.46 , -4.583 , -4.585 , -4.586 , -4.582 , -4.579 , -4.449 , -4.456 , -4.439 , -4.455 , -4.454 , -4.452 , -4.45 , -4.448 , -4.449 , -4.45 , -4.444 , -4.45 ]


als = [ , 14.0 , 14.0 , 15.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 15.0 , 15.0 , 15.0 , 16.0 , 16.0 , 15.0 , 15.0 , 15.0 , 15.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 17.0 , 16.0 , 16.0 ]


clcdmax = [ , 55.9 , 63.22 , 68.76 , 73.83 , 78.13 , 90.72 , 93.09 , 95.81 , 97.87 , 99.98 , 102.09 , 103.86 , 105.51 , 107.46 , 109.01 , 110.26 , 111.66 , 115.6 , 116.61 , 117.94 , 119.02 , 119.98 , 120.89 , 121.8 , 122.65 , 123.52 , 124.64 , 125.63 , 126.63 , 127.46 , 128.14 , 128.66 , 129.52 , 130.41 , 131.3 , 132.03 , 132.76 , 133.32 , 133.88 , 134.43 , 134.81 , 135.57 , 136.34 ]


Cd0 = [ , 0.01835 , 0.01441 , 0.01225 , 0.01095 , 0.01005 , 0.00812 , 0.00784 , 0.00763 , 0.00743 , 0.00728 , 0.00718 , 0.0071 , 0.00705 , 0.00703 , 0.00699 , 0.00697 , 0.00695 , 0.00689 , 0.00688 , 0.00688 , 0.00687 , 0.00685 , 0.00684 , 0.00684 , 0.00685 , 0.00684 , 0.00683 , 0.00681 , 0.0068 , 0.00679 , 0.00679 , 0.00678 , 0.00675 , 0.00673 , 0.00672 , 0.0067 , 0.00669 , 0.00668 , 0.00667 , 0.00665 , 0.00663 , 0.00661 , 0.00659 ]


Cd5 = [ , 0.02057 , 0.01743 , 0.01565 , 0.01444 , 0.01352 , 0.01139 , 0.01105 , 0.01078 , 0.01049 , 0.01027 , 0.01008 , 0.00987 , 0.00969 , 0.00957 , 0.00941 , 0.00926 , 0.00915 , 0.00884 , 0.00876 , 0.0087 , 0.0086 , 0.00852 , 0.00845 , 0.00839 , 0.00834 , 0.00828 , 0.00821 , 0.00815 , 0.00809 , 0.00804 , 0.008 , 0.00797 , 0.00792 , 0.00787 , 0.00782 , 0.00778 , 0.00774 , 0.00771 , 0.00768 , 0.00765 , 0.00763 , 0.00759 , 0.00755 ]
________________________________________________________________________________________________________________________________________________________________________________
