________________________________________________________________________________________________________________________________________________________________________________

Perfil aj2190-SRTL10

Rey = [ , 10.0 , 12.5 , 15.0 , 17.5 , 20.0 , 25.0 , 27.5 , 30.0 , 32.5 , 35.0 , 37.5 , 40.0 , 42.5 , 45.0 , 62.5 , 72.5 , 75.0 , 77.5 , 80.0 , 82.5 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 102.5 , 105.0 , 107.5 , 110.0 , 112.5 , 115.0 , 117.5 , 120.0 , 125.0 , 127.5 ]


Cla = [ , 0.1187 , 0.1233 , 0.108 , 0.1226 , 0.10992 , 0.11923 , 0.11206 , 0.1075 , 0.0975 , 0.11168 , 0.0884 , 0.0797 , 0.10691 , 0.10714 , 0.10635 , 0.10849 , 0.10865 , 0.10851 , 0.10842 , 0.10932 , 0.10549 , 0.10554 , 0.1054 , 0.10871 , 0.10832 , 0.10818 , 0.10708 , 0.10668 , 0.10536 , 0.1055 , 0.10576 , 0.10729 , 0.10756 , 0.10823 , 0.1078 , 0.10837 , 0.1086 ]


Cl0 = [ , 1.1559 , 1.1644 , 1.1693 , 1.17 , 1.1693 , 1.1644 , 1.1631 , 1.1611 , 1.1614 , 1.1624 , 1.163 , 1.1645 , 1.1659 , 1.1674 , 1.18 , 1.1868 , 1.1884 , 1.19 , 1.1915 , 1.1928 , 1.1938 , 1.195 , 1.196 , 1.1966 , 1.1969 , 1.1969 , 1.1976 , 1.1981 , 1.1989 , 1.1994 , 1.2001 , 1.2007 , 1.2013 , 1.2019 , 1.2026 , 1.2039 , 1.2047 ]


Clmax = [ , 2.0194 , 2.2015 , 2.2739 , 2.3057 , 2.3181 , 2.3187 , 2.3205 , 2.3259 , 2.3342 , 2.3427 , 2.349 , 2.3545 , 2.3644 , 2.3714 , 2.4068 , 2.4203 , 2.4246 , 2.4279 , 2.4302 , 2.4316 , 2.4333 , 2.4369 , 2.4398 , 2.4419 , 2.4434 , 2.4442 , 2.4455 , 2.4483 , 2.4508 , 2.4528 , 2.4542 , 2.455 , 2.4563 , 2.4573 , 2.4588 , 2.4626 , 2.464 ]


al0 = [ , -9.738 , -9.444 , -10.827 , -9.543 , -10.638 , -9.766 , -10.379 , -10.801 , -11.912 , -10.408 , -13.156 , -14.611 , -10.905 , -10.896 , -11.095 , -10.94 , -10.938 , -10.966 , -10.989 , -10.911 , -11.317 , -11.323 , -11.347 , -11.007 , -11.05 , -11.064 , -11.184 , -11.231 , -11.379 , -11.369 , -11.347 , -11.191 , -11.168 , -11.105 , -11.156 , -11.11 , -11.093 ]


als = [ , 9.5 , 13.0 , 13.5 , 13.0 , 13.5 , 14.0 , 14.5 , 14.5 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 14.5 , 14.5 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 14.5 , 14.5 , 15.0 , 15.0 , 15.0 ]


clcdmax = [ , 52.89 , 59.04 , 63.87 , 67.81 , 71.16 , 77.8 , 79.95 , 82.09 , 84.55 , 86.02 , 87.92 , 89.7 , 91.2 , 92.95 , 102.51 , 105.94 , 107.23 , 108.76 , 109.69 , 110.79 , 111.77 , 112.69 , 113.48 , 114.19 , 116.64 , 117.59 , 116.9 , 117.77 , 118.7 , 119.78 , 120.81 , 121.83 , 122.74 , 123.72 , 124.55 , 126.22 , 127.07 ]


Cd0 = [ , 0.02357 , 0.02166 , 0.02023 , 0.01914 , 0.01834 , 0.01702 , 0.01653 , 0.01605 , 0.01573 , 0.01545 , 0.0151 , 0.01481 , 0.01458 , 0.01442 , 0.01323 , 0.01274 , 0.01262 , 0.01251 , 0.01241 , 0.01232 , 0.01225 , 0.01218 , 0.01211 , 0.01207 , 0.01203 , 0.01201 , 0.01195 , 0.01188 , 0.01181 , 0.01176 , 0.0117 , 0.01165 , 0.01159 , 0.01155 , 0.0115 , 0.01141 , 0.01137 ]


Cd5 = [ , 0.03461 , 0.03063 , 0.02804 , 0.02623 , 0.02458 , 0.02254 , 0.02166 , 0.02107 , 0.02059 , 0.02 , 0.01951 , 0.01909 , 0.01876 , 0.01856 , 0.01674 , 0.0164 , 0.0163 , 0.01614 , 0.01598 , 0.01582 , 0.01567 , 0.01553 , 0.0154 , 0.01527 , 0.01515 , 0.01503 , 0.01492 , 0.01482 , 0.01473 , 0.01464 , 0.01456 , 0.01448 , 0.01442 , 0.01436 , 0.0143 , 0.01422 , 0.01419 ]
________________________________________________________________________________________________________________________________________________________________________________
