________________________________________________________________________________________________________________________________________________________________________________

Perfil aj21s90

Rey = [ , 10.0 , 12.5 , 15.0 , 17.5 , 20.0 , 22.5 , 25.0 , 27.5 , 30.0 , 32.5 , 35.0 , 37.5 , 40.0 , 42.5 , 45.0 , 47.5 , 80.0 , 82.5 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 102.5 , 105.0 , 107.5 , 110.0 , 112.5 , 115.0 , 120.0 , 122.5 , 127.5 ]


Cla = [ , 0.1125 , 0.1158 , 0.11443 , 0.116 , 0.10648 , 0.12127 , 0.11457 , 0.1052 , 0.12583 , 0.09865 , 0.11473 , 0.0986 , 0.10423 , 0.10389 , 0.10507 , 0.10166 , 0.11206 , 0.11643 , 0.11384 , 0.11377 , 0.1137 , 0.11581 , 0.11587 , 0.11433 , 0.11307 , 0.1161 , 0.1161 , 0.11609 , 0.12012 , 0.11679 , 0.11679 , 0.11678 , 0.11404 , 0.1135 ]


Cl0 = [ , 1.1685 , 1.17 , 1.1646 , 1.162 , 1.1556 , 1.1517 , 1.1447 , 1.1414 , 1.1381 , 1.1362 , 1.1325 , 1.1345 , 1.1359 , 1.1371 , 1.1377 , 1.1356 , 1.1608 , 1.1628 , 1.1647 , 1.1664 , 1.1679 , 1.1692 , 1.1698 , 1.1697 , 1.168 , 1.1701 , 1.1728 , 1.1752 , 1.1772 , 1.1791 , 1.1809 , 1.184 , 1.1855 , 1.1883 ]


Clmax = [ , 2.0454 , 2.2564 , 2.3044 , 2.3041 , 2.2993 , 2.3029 , 2.3041 , 2.3073 , 2.3123 , 2.3186 , 2.3268 , 2.3307 , 2.3379 , 2.3427 , 2.3476 , 2.3508 , 2.3846 , 2.3853 , 2.3878 , 2.3894 , 2.39 , 2.3898 , 2.3914 , 2.3932 , 2.3944 , 2.3948 , 2.3947 , 2.3956 , 2.3975 , 2.399 , 2.3999 , 2.4001 , 2.3999 , 2.4033 ]


al0 = [ , -10.387 , -10.104 , -10.178 , -10.017 , -10.853 , -9.497 , -9.991 , -10.85 , -9.045 , -11.517 , -9.871 , -11.506 , -10.899 , -10.946 , -10.828 , -11.171 , -10.359 , -9.987 , -10.231 , -10.252 , -10.272 , -10.095 , -10.096 , -10.231 , -10.33 , -10.078 , -10.102 , -10.124 , -9.8 , -10.096 , -10.112 , -10.139 , -10.395 , -10.47 ]


als = [ , 10.0 , 13.0 , 12.5 , 13.0 , 13.5 , 13.5 , 14.0 , 14.0 , 14.5 , 14.5 , 14.5 , 14.5 , 14.5 , 14.0 , 14.0 , 14.5 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 13.5 , 14.0 ]


clcdmax = [ , 53.63 , 60.02 , 65.05 , 68.97 , 72.5 , 76.08 , 78.55 , 81.43 , 83.72 , 85.49 , 87.61 , 89.54 , 90.42 , 92.7 , 93.86 , 95.53 , 112.0 , 112.73 , 113.57 , 114.39 , 115.19 , 116.41 , 117.56 , 118.66 , 119.77 , 120.82 , 121.81 , 122.71 , 123.62 , 124.47 , 125.23 , 126.68 , 128.62 , 128.05 ]


Cd0 = [ , 0.02246 , 0.02111 , 0.02005 , 0.01925 , 0.01844 , 0.01789 , 0.01735 , 0.01704 , 0.01657 , 0.01626 , 0.01618 , 0.0158 , 0.01549 , 0.01526 , 0.0151 , 0.01509 , 0.01315 , 0.01304 , 0.01295 , 0.01286 , 0.01279 , 0.01273 , 0.01269 , 0.01266 , 0.01266 , 0.01256 , 0.01244 , 0.01233 , 0.01224 , 0.01216 , 0.01208 , 0.01194 , 0.01187 , 0.01176 ]


Cd5 = [ , 0.03418 , 0.03028 , 0.02763 , 0.02584 , 0.02431 , 0.02325 , 0.02221 , 0.02153 , 0.02091 , 0.02026 , 0.01972 , 0.01929 , 0.01908 , 0.0187 , 0.01832 , 0.01799 , 0.01554 , 0.01547 , 0.01537 , 0.01527 , 0.01518 , 0.0151 , 0.01502 , 0.01497 , 0.01493 , 0.01483 , 0.0147 , 0.01459 , 0.01448 , 0.01437 , 0.01427 , 0.01408 , 0.014 , 0.01383 ]
________________________________________________________________________________________________________________________________________________________________________________
