________________________________________________________________________________________________________________________________________________________________________________

Perfil e420

Rey = [ , 17.5 , 20.0 , 22.5 , 25.0 , 30.0 , 32.5 , 35.0 , 37.5 , 40.0 , 42.5 , 45.0 , 47.5 , 52.5 , 62.5 , 65.0 , 67.5 , 70.0 , 75.0 , 77.5 , 80.0 , 82.5 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 105.0 , 107.5 , 110.0 , 112.5 , 117.5 , 120.0 , 122.5 , 125.0 ]


Cla = [ , 0.1018 , 0.10175 , 0.1032 , 0.10217 , 0.1095 , 0.10115 , 0.10773 , 0.10597 , 0.1066 , 0.11015 , 0.09971 , 0.0542 , 0.09845 , 0.10149 , 0.10191 , 0.10098 , 0.1009 , 0.10174 , 0.10178 , 0.1027 , 0.10235 , 0.1023 , 0.0988 , 0.10033 , 0.10035 , 0.10237 , 0.10247 , 0.10138 , 0.09904 , 0.09909 , 0.10385 , 0.0992 , 0.10252 , 0.09939 , 0.10255 , 0.10258 ]


Cl0 = [ , 1.127 , 1.1257 , 1.1357 , 1.136 , 1.1333 , 1.1356 , 1.1338 , 1.1295 , 1.1263 , 1.1236 , 1.1212 , 1.1203 , 1.1199 , 1.1067 , 1.1051 , 1.1038 , 1.1026 , 1.101 , 1.1007 , 1.1013 , 1.1024 , 1.1019 , 1.1017 , 1.1018 , 1.102 , 1.1024 , 1.1029 , 1.1035 , 1.1049 , 1.1055 , 1.1062 , 1.1069 , 1.1081 , 1.1086 , 1.1092 , 1.1097 ]


Clmax = [ , 1.6177 , 1.8338 , 1.8941 , 2.0533 , 2.1131 , 2.1222 , 2.1319 , 2.1301 , 2.1244 , 2.1245 , 2.1268 , 2.1301 , 2.1366 , 2.1467 , 2.1503 , 2.1536 , 2.1565 , 2.1609 , 2.1622 , 2.1627 , 2.1651 , 2.1676 , 2.1694 , 2.1731 , 2.1769 , 2.1802 , 2.183 , 2.1853 , 2.1887 , 2.1896 , 2.1902 , 2.1903 , 2.1908 , 2.1941 , 2.197 , 2.1997 ]


al0 = [ , -11.071 , -11.063 , -11.005 , -11.119 , -10.35 , -11.227 , -10.525 , -10.658 , -10.566 , -10.201 , -11.244 , -20.67 , -11.375 , -10.905 , -10.844 , -10.931 , -10.928 , -10.822 , -10.815 , -10.723 , -10.771 , -10.771 , -11.151 , -10.982 , -10.982 , -10.769 , -10.764 , -10.885 , -11.156 , -11.157 , -10.652 , -11.158 , -10.809 , -11.154 , -10.816 , -10.818 ]


als = [ , 8.0 , 8.0 , 16.0 , 11.0 , 12.0 , 13.0 , 13.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 15.0 , 15.0 , 15.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 ]


clcdmax = [ , 53.68 , 60.53 , 68.73 , 73.06 , 83.23 , 87.66 , 90.03 , 93.37 , 96.63 , 99.62 , 102.21 , 104.76 , 108.75 , 114.01 , 117.15 , 116.48 , 120.14 , 122.48 , 122.38 , 124.18 , 122.2 , 126.44 , 128.24 , 124.73 , 130.23 , 124.34 , 124.9 , 129.08 , 137.47 , 138.77 , 130.08 , 141.11 , 138.91 , 144.58 , 145.65 , 146.59 ]


Cd0 = [ , 0.02317 , 0.02112 , 0.01954 , 0.01855 , 0.01667 , 0.01616 , 0.01564 , 0.01507 , 0.0146 , 0.0142 , 0.01384 , 0.01358 , 0.01317 , 0.01218 , 0.01199 , 0.01183 , 0.0117 , 0.01147 , 0.01138 , 0.01132 , 0.01126 , 0.01114 , 0.01102 , 0.01091 , 0.01081 , 0.0107 , 0.01061 , 0.01052 , 0.01035 , 0.01027 , 0.0102 , 0.01013 , 0.01001 , 0.00996 , 0.00991 , 0.00986 ]


Cd5 = [ , 0.03032 , 0.02637 , 0.02381 , 0.02237 , 0.01971 , 0.01879 , 0.01835 , 0.0176 , 0.01697 , 0.0164 , 0.0159 , 0.01547 , 0.01486 , 0.01464 , 0.01443 , 0.01422 , 0.01404 , 0.0137 , 0.01355 , 0.01341 , 0.01328 , 0.01317 , 0.01307 , 0.01298 , 0.0129 , 0.01284 , 0.01279 , 0.01274 , 0.01251 , 0.01241 , 0.0123 , 0.0122 , 0.01202 , 0.01193 , 0.01184 , 0.01176 ]
________________________________________________________________________________________________________________________________________________________________________________
