________________________________________________________________________________________________________________________________________________________________________________

Perfil fx73cl3152

 Rey   = [ , 12.5 , 15.0 , 17.5 , 20.0 , 22.5 , 25.0 , 27.5 , 30.0 , 35.0 , 42.5 , 50.0 , 55.0 , 60.0 , 62.5 , 65.0 , 67.5 , 70.0 , 72.5 , 75.0 , 77.5 , 80.0 , 82.5 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 102.5 , 107.5 , 110.0 , 112.5 , 115.0 , 120.0 , 122.5 , 127.5 ]


 Cla   = [ , 0.1114 , 0.10965 , 0.1122 , 0.1136 , 0.11 , 0.1061 , 0.1097 , 0.1062 , 0.10551 , 0.10337 , 0.10205 , 0.10273 , 0.09874 , 0.09951 , 0.10048 , 0.09939 , 0.10061 , 0.09993 , 0.09945 , 0.09864 , 0.09802 , 0.09787 , 0.09795 , 0.09763 , 0.10009 , 0.09796 , 0.09644 , 0.09782 , 0.09814 , 0.09841 , 0.09824 , 0.1014 , 0.09844 , 0.09825 , 0.10024 , 0.10026 , 0.10228 ]


 Cl0   = [ , 0.8508 , 0.8538 , 0.855 , 0.852 , 0.8526 , 0.8492 , 0.8479 , 0.8478 , 0.8449 , 0.8439 , 0.8439 , 0.844 , 0.8449 , 0.8456 , 0.8464 , 0.8472 , 0.848 , 0.8488 , 0.8494 , 0.8499 , 0.8504 , 0.8508 , 0.851 , 0.8512 , 0.8521 , 0.8531 , 0.854 , 0.8549 , 0.8558 , 0.8567 , 0.8583 , 0.859 , 0.8596 , 0.8602 , 0.8614 , 0.8619 , 0.8628 ]


 Clmax   = [ , 1.5974 , 1.7622 , 1.8804 , 2.0054 , 2.0533 , 2.0641 , 2.0893 , 2.0872 , 2.0948 , 2.1038 , 2.117 , 2.1273 , 2.1378 , 2.1429 , 2.1476 , 2.1539 , 2.1591 , 2.1631 , 2.1657 , 2.1695 , 2.1749 , 2.1795 , 2.1831 , 2.1876 , 2.191 , 2.1933 , 2.1947 , 2.1983 , 2.203 , 2.207 , 2.2131 , 2.2151 , 2.2166 , 2.2176 , 2.222 , 2.226 , 2.2323 ]


 al0   = [ , -7.637 , -7.787 , -7.62 , -7.5 , -7.751 , -8.004 , -7.729 , -7.983 , -8.008 , -8.164 , -8.27 , -8.216 , -8.557 , -8.498 , -8.423 , -8.524 , -8.428 , -8.494 , -8.541 , -8.616 , -8.676 , -8.693 , -8.688 , -8.718 , -8.513 , -8.709 , -8.855 , -8.74 , -8.72 , -8.706 , -8.737 , -8.471 , -8.732 , -8.755 , -8.593 , -8.597 , -8.435 ]


 als   = [ , 8.0 , 10.0 , 11.0 , 13.5 , 14.5 , 14.0 , 15.0 , 16.0 , 15.5 , 16.0 , 16.5 , 16.5 , 16.0 , 16.0 , 16.5 , 16.5 , 16.5 , 16.5 , 16.5 , 16.0 , 16.0 , 16.0 , 16.0 , 16.5 , 16.5 , 16.5 , 16.5 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 , 16.0 ]


 clcdmax   = [ , 47.22 , 53.34 , 59.11 , 63.8 , 68.27 , 72.33 , 75.84 , 79.42 , 85.37 , 92.94 , 98.98 , 102.56 , 106.08 , 107.84 , 109.54 , 111.09 , 112.62 , 113.83 , 115.82 , 115.96 , 118.57 , 119.89 , 121.41 , 122.18 , 123.92 , 125.12 , 126.55 , 127.89 , 129.23 , 130.57 , 133.31 , 134.48 , 135.67 , 136.86 , 136.96 , 140.03 , 141.77 ]


 Cd0   = [ , 0.02219 , 0.02017 , 0.01872 , 0.01757 , 0.0168 , 0.01596 , 0.01536 , 0.01496 , 0.01402 , 0.01318 , 0.01243 , 0.01211 , 0.01183 , 0.01165 , 0.01149 , 0.01134 , 0.01121 , 0.01109 , 0.01098 , 0.01088 , 0.0108 , 0.01072 , 0.01067 , 0.01063 , 0.01053 , 0.01043 , 0.01034 , 0.01026 , 0.01018 , 0.0101 , 0.00995 , 0.00988 , 0.00982 , 0.00976 , 0.00966 , 0.00961 , 0.00952 ]


 Cd5   = [ , 0.02982 , 0.02621 , 0.02381 , 0.02184 , 0.02064 , 0.01943 , 0.01842 , 0.01772 , 0.01653 , 0.01511 , 0.01429 , 0.0137 , 0.01333 , 0.01317 , 0.013 , 0.01285 , 0.01272 , 0.01262 , 0.01254 , 0.0125 , 0.01234 , 0.01219 , 0.01205 , 0.01192 , 0.0118 , 0.01168 , 0.01157 , 0.01147 , 0.01137 , 0.01127 , 0.0111 , 0.01102 , 0.01094 , 0.01087 , 0.01074 , 0.01068 , 0.01058 ]
________________________________________________________________________________________________________________________________________________________________________________
