________________________________________________________________________________________________________________________________________________________________________________

Perfil n0015

Rey = [ , 10.0 , 12.5 , 17.5 , 42.5 , 47.5 , 50.0 , 55.0 , 60.0 , 65.0 , 67.5 , 70.0 , 72.5 , 75.0 , 80.0 , 82.5 , 85.0 , 90.0 , 95.0 , 97.5 , 100.0 , 102.5 , 105.0 , 107.5 , 110.0 , 112.5 , 115.0 , 117.5 , 122.5 , 125.0 ]


Cla = [ , 0.04289 , 0.04558 , 0.04042 , 0.0946 , 0.13336 , 0.13272 , 0.13053 , 0.12841 , 0.12934 , 0.12972 , 0.12766 , 0.0811 , 0.12744 , 0.0812 , 0.08105 , 0.08212 , 0.12093 , 0.12111 , 0.12095 , 0.12017 , 0.12008 , 0.1193 , 0.0879 , 0.088 , 0.08609 , 0.08644 , 0.08665 , 0.11645 , 0.11615 ]


Cl0 = [ , 0.0156 , 0.0082 , -0.0014 , -0.0 , 0.0 , 0.0 , -0.0001 , -0.0 , 0.0002 , -0.0004 , -0.0003 , -0.0001 , 0.0001 , -0.0004 , -0.0004 , -0.0002 , 0.0003 , -0.0003 , -0.0005 , -0.0003 , -0.0001 , 0.0001 , 0.0003 , 0.0002 , -0.0003 , -0.0006 , -0.0004 , -0.0001 , 0.0 ]


Clmax = [ , 1.0637 , 1.1045 , 1.1229 , 1.1883 , 1.2152 , 1.2263 , 1.2422 , 1.2538 , 1.2617 , 1.2634 , 1.2393 , 1.2402 , 1.2345 , 1.2394 , 1.2423 , 1.2451 , 1.2498 , 1.2537 , 1.2557 , 1.2576 , 1.2596 , 1.2617 , 1.2638 , 1.2659 , 1.2678 , 1.2697 , 1.2715 , 1.275 , 1.2766 ]


al0 = [ , -0.364 , -0.18 , 0.035 , 0.0 , -0.0 , -0.0 , 0.001 , 0.0 , -0.002 , 0.003 , 0.002 , 0.001 , -0.001 , 0.005 , 0.005 , 0.002 , -0.002 , 0.002 , 0.004 , 0.002 , 0.001 , -0.001 , -0.003 , -0.002 , 0.003 , 0.007 , 0.005 , 0.001 , -0.0 ]


als = [ , 12.0 , 13.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 14.0 , 14.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 , 15.0 ]


clcdmax = [ , 39.78 , 43.63 , 48.75 , 61.97 , 62.6 , 63.11 , 64.88 , 66.5 , 67.17 , 67.32 , 67.56 , 66.75 , 67.9 , 68.19 , 68.47 , 68.74 , 69.56 , 70.17 , 70.17 , 70.33 , 70.41 , 70.39 , 69.52 , 69.54 , 69.73 , 69.86 , 69.99 , 70.31 , 70.33 ]


Cd0 = [ , 0.02068 , 0.01618 , 0.01191 , 0.00764 , 0.00741 , 0.00729 , 0.00713 , 0.00696 , 0.00685 , 0.0068 , 0.00673 , 0.00668 , 0.00664 , 0.00657 , 0.00653 , 0.00649 , 0.00643 , 0.00638 , 0.00635 , 0.00632 , 0.00629 , 0.00627 , 0.00626 , 0.00624 , 0.00622 , 0.0062 , 0.00618 , 0.00613 , 0.00612 ]


Cd5 = [ , 0.02004 , 0.01838 , 0.01666 , 0.01144 , 0.01087 , 0.01062 , 0.01015 , 0.00976 , 0.00945 , 0.00932 , 0.00921 , 0.00911 , 0.00902 , 0.00886 , 0.00879 , 0.00874 , 0.00861 , 0.0085 , 0.00846 , 0.00839 , 0.00833 , 0.00828 , 0.00823 , 0.00819 , 0.00817 , 0.00814 , 0.0081 , 0.00803 , 0.008 ]
________________________________________________________________________________________________________________________________________________________________________________
