________________________________________________________________________________________________________________________________________________________________________________

Perfil s1223

Rey = [ , 10.0 , 12.5 , 15.0 , 17.5 , 22.5 , 27.5 , 30.0 , 35.0 , 37.5 , 42.5 , 45.0 , 47.5 , 50.0 , 75.0 , 85.0 , 87.5 , 90.0 , 92.5 , 95.0 , 97.5 , 100.0 , 102.5 , 105.0 , 107.5 , 110.0 , 112.5 , 115.0 , 117.5 , 120.0 , 125.0 , 127.5 ]


Cla = [ , 0.1077 , 0.1153 , 0.1091 , 0.1154 , 0.11266 , 0.10817 , 0.10055 , 0.10657 , 0.10041 , 0.10848 , 0.09868 , 0.11493 , 0.1133 , 0.11573 , 0.11722 , 0.1171 , 0.11694 , 0.11538 , 0.11717 , 0.117 , 0.11475 , 0.11277 , 0.11455 , 0.11654 , 0.11584 , 0.102 , 0.10713 , 0.1132 , 0.11392 , 0.1161 , 0.11439 ]


Cl0 = [ , 1.1768 , 1.1746 , 1.1722 , 1.1687 , 1.1589 , 1.1474 , 1.1447 , 1.139 , 1.1405 , 1.1421 , 1.1383 , 1.1418 , 1.1446 , 1.1613 , 1.1685 , 1.1701 , 1.1711 , 1.171 , 1.1691 , 1.1714 , 1.1743 , 1.1766 , 1.1787 , 1.1806 , 1.1823 , 1.184 , 1.1855 , 1.187 , 1.1884 , 1.1909 , 1.1924 ]


Clmax = [ , 2.0796 , 2.251 , 2.2792 , 2.2863 , 2.2886 , 2.2992 , 2.3066 , 2.3173 , 2.3235 , 2.3319 , 2.3349 , 2.3384 , 2.3415 , 2.3629 , 2.37 , 2.3712 , 2.3723 , 2.3732 , 2.3759 , 2.378 , 2.3795 , 2.3802 , 2.3806 , 2.381 , 2.3833 , 2.3852 , 2.3867 , 2.3877 , 2.3883 , 2.3887 , 2.3902 ]


al0 = [ , -10.927 , -10.187 , -10.744 , -10.127 , -10.287 , -10.607 , -11.384 , -10.688 , -11.358 , -10.528 , -11.535 , -9.934 , -10.102 , -10.035 , -9.968 , -9.992 , -10.014 , -10.149 , -9.978 , -10.012 , -10.234 , -10.433 , -10.29 , -10.13 , -10.206 , -11.608 , -11.066 , -10.486 , -10.431 , -10.258 , -10.424 ]


als = [ , 10.5 , 13.0 , 12.5 , 13.0 , 13.5 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 13.5 , 13.5 , 13.5 , 13.5 , 14.0 , 14.0 , 13.5 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 , 14.0 ]


clcdmax = [ , 54.28 , 60.48 , 65.18 , 69.69 , 76.84 , 82.18 , 84.87 , 89.25 , 90.67 , 94.03 , 95.68 , 97.02 , 97.89 , 111.13 , 115.06 , 116.1 , 117.0 , 117.76 , 118.49 , 119.46 , 120.43 , 121.41 , 122.31 , 123.36 , 124.35 , 125.42 , 126.46 , 127.43 , 128.41 , 130.22 , 131.04 ]


Cd0 = [ , 0.02242 , 0.02101 , 0.01989 , 0.01906 , 0.01774 , 0.01686 , 0.01647 , 0.01599 , 0.01565 , 0.01529 , 0.01519 , 0.01489 , 0.01466 , 0.01332 , 0.01295 , 0.01285 , 0.01277 , 0.01272 , 0.01274 , 0.01263 , 0.01251 , 0.01241 , 0.01232 , 0.01224 , 0.01217 , 0.0121 , 0.01204 , 0.01198 , 0.01193 , 0.01183 , 0.01176 ]


Cd5 = [ , 0.03417 , 0.03022 , 0.02756 , 0.02549 , 0.0229 , 0.02128 , 0.02057 , 0.01971 , 0.01919 , 0.01839 , 0.01806 , 0.01781 , 0.01767 , 0.01565 , 0.01528 , 0.01519 , 0.01508 , 0.01496 , 0.01485 , 0.01474 , 0.01463 , 0.01452 , 0.01443 , 0.01434 , 0.01425 , 0.01417 , 0.0141 , 0.01403 , 0.01396 , 0.01385 , 0.01381 ]
________________________________________________________________________________________________________________________________________________________________________________
