FX73-CL3-152 Y
1.0 0.0
0.99572 0.00171
0.98296 0.00581
0.96194 0.01239
0.93301 0.0215
0.89668 0.03313
0.85355 0.04733
0.80438 0.0633
0.75 0.07964
0.69134 0.0944
0.62941 0.10776
0.56526 0.12012
0.5 0.13119
0.43474 0.14045
0.37059 0.14721
0.30866 0.14976
0.25 0.14611
0.19562 0.13681
0.14645 0.12209
0.10332 0.10337
0.06699 0.08255
0.03806 0.06054
0.01704 0.03831
0.00428 0.01748
0.0 0.0
0.00428 -0.01391
0.01704 -0.02312
0.03806 -0.02689
0.06699 -0.02751
0.10332 -0.02548
0.14645 -0.02081
0.19562 -0.01404
0.25 -0.00583
0.30866 0.00288
0.37059 0.01162
0.43474 0.01975
0.5 0.02674
0.56526 0.03229
0.62941 0.03591
0.69134 0.03715
0.75 0.03536
0.80438 0.03002
0.85355 0.02308
0.89668 0.0163
0.93301 0.01012
0.96194 0.00515
0.98296 0.00162
0.99572 -0.00015
1.0 0.0
